question,answer,category,language
How do I reset my campus Wi-Fi password?,"Reset your Wi-Fi credentials at https://www.iset-sfax.tn/facilities/wifi-reset using your student portal login. For assistance, visit the IT Support desk in Building C with your ID card.",Facilities,en
What's the dress code for laboratory sessions?,"Laboratory sessions require closed-toe shoes, long pants, and lab coats. Safety goggles must be worn when handling chemicals. Complete dress code at https://www.iset-sfax.tn/facilities/lab-dress-code.",Facilities,en
How do I volunteer for campus events?,Event volunteering opportunities are posted at https://www.iset-sfax.tn/student-life/volunteer. Submit the online form to indicate your interests and availability. Volunteers receive service hour certificates.,Student Life,en
What are the course details for Economics at ISET Sfax?,"Economics course details are available at https://www.iset-sfax.tn/courses/economics. The curriculum includes microeconomics, macroeconomics, and econometrics. Contact econ-dept@iset-sfax.tn for specific questions.",Course Information,en
What are the registration deadlines for Fall semester?,Fall registration deadline is August 15th. Late registration (with fee) available until August 25th. Complete timetable at https://www.iset-sfax.tn/registration/deadlines.,Registration,en
What clubs are available at ISET Sfax?,"Student clubs include Debate, Photography, IEEE Student Branch, and Environmental Action. Complete listing and meeting schedules at https://www.iset-sfax.tn/student-life/clubs.",Student Life,en
Are there any upcoming events at ISET Sfax?,"Upcoming events calendar available at https://www.iset-sfax.tn/student-life/events. Features include tech talks, cultural nights, and sports tournaments. Subscribe for email notifications.",Student Life,en
What internship opportunities are available at ISET Sfax?,"Internship opportunities are posted weekly at https://www.iset-sfax.tn/career-services/internships. Filter by field, duration, and paid/unpaid. Contact internships@iset-sfax.tn for personalized assistance.",Career Services,en
How can I attend job fairs organized by ISET Sfax?,Job fairs are held in November and April each year. Register at https://www.iset-sfax.tn/career-services/job-fairs at least one week in advance. Bring your CV and student ID for entry.,Career Services,en
What visa support is provided by ISET Sfax?,Visa support services include documentation assistance and liaison with government offices. International students should contact international@iset-sfax.tn or visit the International Office in Building A.,International Students,en
Are there language support services for international students?,Language support includes intensive Arabic and French courses for international students. Register at https://www.iset-sfax.tn/international/language-support. One-on-one tutoring available upon request.,International Students,en
How can I contact ISET Sfax via email?,General inquiries can be sent to info@iset-sfax.tn. Department-specific contact information is listed at https://www.iset-sfax.tn/contact/departments.,Contact & Location,en
Where can I update my profile on the student portal?,Profile updates can be made through the 'My Profile' section of the portal. Photo uploads and emergency contact changes require verification. Instructions at https://www.iset-sfax.tn/student-portal/profile.,Student Portal,en
Can you provide the syllabus for Business course at ISET Sfax?,"Business course syllabi are available at https://www.iset-sfax.tn/courses/business. Includes course objectives, assessment methods, and required textbooks. For questions, contact business-dept@iset-sfax.tn.",Course Information,en
What are the approved payment methods for tuition?,"Tuition can be paid via bank transfer, credit card (online), or cash (finance office). International wire transfer details and online payment link at https://www.iset-sfax.tn/tuition/payment-methods.",Tuition & Scholarships,en
Is there a student health clinic on campus?,"The Student Health Center is located in Building D. Services include basic medical care, vaccinations, and health counseling. Hours and appointment booking at https://www.iset-sfax.tn/facilities/health-center.",Facilities,en
How do I apply for a parking permit?,"Parking permits are issued through https://www.iset-sfax.tn/facilities/parking. Annual fee: 100 TND. Submit vehicle registration and student ID. Limited spaces available, apply early.",Facilities,en
How can I run for student government?,Student government election applications open in September. Candidate requirements and campaign guidelines at https://www.iset-sfax.tn/student-life/student-government. Submit platform statements by September 15th.,Student Life,en
What counseling services are available for students?,"Counseling services include individual therapy, group sessions, and crisis intervention. Appointments can be scheduled at https://www.iset-sfax.tn/student-life/counseling. All services are confidential.",Student Life,en
How do I find roommates for off-campus housing?,The roommate matching service is available at https://www.iset-sfax.tn/facilities/roommate-finder. Create a profile with your preferences and browse potential matches. Verification required.,Facilities,en
Are there family housing options available?,Family housing is limited but available for married students. Application process and eligibility requirements at https://www.iset-sfax.tn/facilities/family-housing. Priority deadline: May 1st.,Facilities,en
